15:19:15 (host: shas0139, pid: 82320) matmul(matrix(62), matrix(66))
15:19:16 (host: shas0139, pid: 82320) matmul(matrix(62), matrix(67))
15:19:16 (host: shas0139, pid: 82320) matmul(matrix(62), matrix(68))
15:19:16 (host: shas0139, pid: 82320) matmul(matrix(62), matrix(69))
15:19:16 (host: shas0139, pid: 82320) matmul(matrix(63), matrix(60))
15:19:17 (host: shas0139, pid: 82320) matmul(matrix(63), matrix(61))
15:19:17 (host: shas0139, pid: 82320) matmul(matrix(63), matrix(62))
15:19:17 (host: shas0139, pid: 82320) matmul(matrix(63), matrix(63))
15:19:18 (host: shas0139, pid: 82320) matmul(matrix(63), matrix(64))
15:19:18 (host: shas0139, pid: 82320) matmul(matrix(63), matrix(65))
15:19:18 (host: shas0139, pid: 82320) matmul(matrix(63), matrix(66))
15:19:18 (host: shas0139, pid: 82320) matmul(matrix(63), matrix(67))
15:19:19 (host: shas0139, pid: 82320) matmul(matrix(63), matrix(68))
15:19:19 (host: shas0139, pid: 82320) matmul(matrix(63), matrix(69))
15:19:19 (host: shas0139, pid: 82320) matmul(matrix(64), matrix(60))
15:19:19 (host: shas0139, pid: 82320) matmul(matrix(64), matrix(61))
15:19:20 (host: shas0139, pid: 82320) matmul(matrix(64), matrix(62))
15:19:20 (host: shas0139, pid: 82320) matmul(matrix(64), matrix(63))
15:19:20 (host: shas0139, pid: 82320) matmul(matrix(64), matrix(64))
15:19:21 (host: shas0139, pid: 82320) matmul(matrix(64), matrix(65))
15:19:21 (host: shas0139, pid: 82320) matmul(matrix(64), matrix(66))
15:19:21 (host: shas0139, pid: 82320) matmul(matrix(64), matrix(67))
15:19:21 (host: shas0139, pid: 82320) matmul(matrix(64), matrix(68))
15:19:22 (host: shas0139, pid: 82320) matmul(matrix(64), matrix(69))
15:19:22 (host: shas0139, pid: 82320) matmul(matrix(65), matrix(60))
15:19:22 (host: shas0139, pid: 82320) matmul(matrix(65), matrix(61))
15:19:22 (host: shas0139, pid: 82320) matmul(matrix(65), matrix(62))
15:19:23 (host: shas0139, pid: 82320) matmul(matrix(65), matrix(63))
15:19:23 (host: shas0139, pid: 82320) matmul(matrix(65), matrix(64))
15:19:24 (host: shas0139, pid: 82320) matmul(matrix(65), matrix(65))
15:19:24 (host: shas0139, pid: 82320) matmul(matrix(65), matrix(66))
15:19:24 (host: shas0139, pid: 82320) matmul(matrix(65), matrix(67))
15:19:25 (host: shas0139, pid: 82320) matmul(matrix(65), matrix(68))
15:19:25 (host: shas0139, pid: 82320) matmul(matrix(65), matrix(69))
15:19:25 (host: shas0139, pid: 82320) matmul(matrix(66), matrix(60))
15:19:25 (host: shas0139, pid: 82320) matmul(matrix(66), matrix(61))
15:19:26 (host: shas0139, pid: 82320) matmul(matrix(66), matrix(62))
15:19:26 (host: shas0139, pid: 82320) matmul(matrix(66), matrix(63))
15:19:26 (host: shas0139, pid: 82320) matmul(matrix(66), matrix(64))
15:19:27 (host: shas0139, pid: 82320) matmul(matrix(66), matrix(65))
15:19:27 (host: shas0139, pid: 82320) matmul(matrix(66), matrix(66))
15:19:27 (host: shas0139, pid: 82320) matmul(matrix(66), matrix(67))
